Date,Category,Vendor/Payee,Description,Amount,Payment Method,Receipt? (Y/N),Status,draft_tax_treatment,evidence_status,watch_notes,next_evidence_needed
2026-01-04,Repairs & maintenance,Refund: Home Depot,REFUND: THE HOME DEPOT #8517 GRAND PRAIRIETX | VERIFY: GP/Mansfield HD - STR or personal?,-20.92,Robinhood CC,CC,Review,capital_improvement_or_basis_review,needs_item_receipt_or_text,Pre-service repair/material/labor candidate; item-level evidence needed.,Export item-level Home Depot/Lowe's receipt/history or provide text/vendor proof before tax bucket approval.
2026-01-04,Repairs & maintenance,Refund: Home Depot,REFUND: THE HOME DEPOT #8517 GRAND PRAIRIETX | VERIFY: GP/Mansfield HD - STR or personal?,-17.47,Robinhood CC,CC,Review,capital_improvement_or_basis_review,needs_item_receipt_or_text,Pre-service repair/material/labor candidate; item-level evidence needed.,Export item-level Home Depot/Lowe's receipt/history or provide text/vendor proof before tax bucket approval.
2026-01-07,Repairs & maintenance,Home Depot,THE HOME DEPOT #6568 MANSFIELD TX | VERIFY: GP/Mansfield HD - STR or personal?,142.7,Robinhood CC,CC,Review,capital_improvement_or_basis_review,needs_item_receipt_or_text,Pre-service repair/material/labor candidate; item-level evidence needed.,Export item-level Home Depot/Lowe's receipt/history or provide text/vendor proof before tax bucket approval.
2026-01-13,Repairs & maintenance,Home Depot,HOMEDEPOT.COM 800-430-3376 GA | VERIFY: GP/Mansfield HD - STR or personal?,269,Robinhood CC,CC,Review,capital_improvement_or_basis_review,needs_item_receipt_or_text,Pre-service repair/material/labor candidate; item-level evidence needed.,Export item-level Home Depot/Lowe's receipt/history or provide text/vendor proof before tax bucket approval.
2026-01-13,Repairs & maintenance,Home Depot,HOMEDEPOT.COM 800-430-3376 GA | VERIFY: GP/Mansfield HD - STR or personal?,46.12,Robinhood CC,CC,Review,capital_improvement_or_basis_review,needs_item_receipt_or_text,Pre-service repair/material/labor candidate; item-level evidence needed.,Export item-level Home Depot/Lowe's receipt/history or provide text/vendor proof before tax bucket approval.
2026-01-20,Repairs & maintenance,Home Depot,THE HOME DEPOT #8517 GRAND PRAIRIETX | VERIFY: GP/Mansfield HD - STR or personal?,601,Robinhood CC,CC,Review,capital_improvement_or_basis_review,needs_item_receipt_or_text,Pre-service repair/material/labor candidate; item-level evidence needed.,Export item-level Home Depot/Lowe's receipt/history or provide text/vendor proof before tax bucket approval.
2026-01-20,Repairs & maintenance,Refund: Home Depot,REFUND: THE HOME DEPOT #8517 GRAND PRAIRIETX | VERIFY: GP/Mansfield HD - STR or personal?,-269,Robinhood CC,CC,Review,capital_improvement_or_basis_review,needs_item_receipt_or_text,Pre-service repair/material/labor candidate; item-level evidence needed.,Export item-level Home Depot/Lowe's receipt/history or provide text/vendor proof before tax bucket approval.
2026-01-20,Repairs & maintenance,Home Depot,THE HOME DEPOT #8517 GRAND PRAIRIETX | VERIFY: GP/Mansfield HD - STR or personal?,14.98,Robinhood CC,CC,Review,capital_improvement_or_basis_review,needs_item_receipt_or_text,Pre-service repair/material/labor candidate; item-level evidence needed.,Export item-level Home Depot/Lowe's receipt/history or provide text/vendor proof before tax bucket approval.
2026-01-20,Repairs & maintenance,Home Depot,THE HOME DEPOT #0507 GRAND PRAIRIETX | VERIFY: GP/Mansfield HD - STR or personal?,68.96,Robinhood CC,CC,Review,capital_improvement_or_basis_review,needs_item_receipt_or_text,Pre-service repair/material/labor candidate; item-level evidence needed.,Export item-level Home Depot/Lowe's receipt/history or provide text/vendor proof before tax bucket approval.
2026-02-04,Repairs & maintenance,Home Depot,THE HOME DEPOT #6568 MANSFIELD TX | VERIFY: GP/Mansfield HD - STR or personal?,3.25,Robinhood CC,CC,Review,capital_improvement_or_basis_review,needs_item_receipt_or_text,Pre-service repair/material/labor candidate; item-level evidence needed.,Export item-level Home Depot/Lowe's receipt/history or provide text/vendor proof before tax bucket approval.
2026-02-04,Repairs & maintenance,Refund: Home Depot,REFUND: THE HOME DEPOT #6568 MANSFIELD TX | VERIFY: GP/Mansfield HD - STR or personal?,-35.98,Robinhood CC,CC,Review,capital_improvement_or_basis_review,needs_item_receipt_or_text,Pre-service repair/material/labor candidate; item-level evidence needed.,Export item-level Home Depot/Lowe's receipt/history or provide text/vendor proof before tax bucket approval.
2026-02-08,Repairs & maintenance,Home Depot,HOMEDEPOT.COM 800-430-3376 GA | VERIFY: GP/Mansfield HD - STR or personal?,39.98,Robinhood CC,CC,Review,capital_improvement_or_basis_review,needs_item_receipt_or_text,Pre-service repair/material/labor candidate; item-level evidence needed.,Export item-level Home Depot/Lowe's receipt/history or provide text/vendor proof before tax bucket approval.
2026-02-16,Repairs & maintenance,Refund: Home Depot,REFUND: THE HOME DEPOT #8517 GRAND PRAIRIETX | VERIFY: GP/Mansfield HD - STR or personal?,-111.06,Robinhood CC,CC,Review,capital_improvement_or_basis_review,needs_item_receipt_or_text,Pre-service repair/material/labor candidate; item-level evidence needed.,Export item-level Home Depot/Lowe's receipt/history or provide text/vendor proof before tax bucket approval.
2026-02-16,Repairs & maintenance,Refund: Home Depot,REFUND: THE HOME DEPOT #8517 GRAND PRAIRIETX | VERIFY: GP/Mansfield HD - STR or personal?,-159,Robinhood CC,CC,Review,capital_improvement_or_basis_review,needs_item_receipt_or_text,Pre-service repair/material/labor candidate; item-level evidence needed.,Export item-level Home Depot/Lowe's receipt/history or provide text/vendor proof before tax bucket approval.
2026-02-16,Repairs & maintenance,Refund: Home Depot,REFUND: THE HOME DEPOT #8517 GRAND PRAIRIETX | VERIFY: GP/Mansfield HD - STR or personal?,-24.82,Robinhood CC,CC,Review,capital_improvement_or_basis_review,needs_item_receipt_or_text,Pre-service repair/material/labor candidate; item-level evidence needed.,Export item-level Home Depot/Lowe's receipt/history or provide text/vendor proof before tax bucket approval.
2026-02-26,Repairs & maintenance,Home Depot,HOMEDEPOT.COM 800-430-3376 GA | VERIFY: GP/Mansfield HD - STR or personal?,199,Robinhood CC,CC,Review,capital_improvement_or_basis_review,needs_item_receipt_or_text,Pre-service repair/material/labor candidate; item-level evidence needed.,Export item-level Home Depot/Lowe's receipt/history or provide text/vendor proof before tax bucket approval.
2026-02-17,Supplies,Santiago Medellin (FB Marketplace),Furniture/item for STR (probable),50,Zelle (6113),N,Review,section_179_or_depreciable_asset_review,needs_receipt_or_text,Likely STR furniture/equipment; confirm business use and asset vs supply treatment.,"Attach receipt, marketplace/chat proof, or payment context before approving final tax treatment."
2026-02-05,Supplies,John Neel (FB Marketplace),Furniture for STR (probable),25,Zelle (3125),N,Review,section_179_or_depreciable_asset_review,needs_receipt_or_text,Likely STR furniture/equipment; confirm business use and asset vs supply treatment.,"Attach receipt, marketplace/chat proof, or payment context before approving final tax treatment."
2026-02-12,Supplies,John Neel (FB Marketplace),Furniture for STR (probable),25,Zelle (3125),N,Review,section_179_or_depreciable_asset_review,needs_receipt_or_text,Likely STR furniture/equipment; confirm business use and asset vs supply treatment.,"Attach receipt, marketplace/chat proof, or payment context before approving final tax treatment."
2026-01-20,Supplies,Lindsey McCoy (FB Marketplace),Furniture for STR (probable),70,Zelle (3125),N,Review,section_179_or_depreciable_asset_review,needs_receipt_or_text,Likely STR furniture/equipment; confirm business use and asset vs supply treatment.,"Attach receipt, marketplace/chat proof, or payment context before approving final tax treatment."
2026-02-25,Supplies,FB Frozen Jeep Mobile,Item for STR (probable),20,Zelle (3125),N,Review,startup_or_preopening_cost_review,needs_receipt_or_text,Consumable setup supplies unless durable asset evidence suggests otherwise.,"Attach receipt, marketplace/chat proof, or payment context before approving final tax treatment."
