Date,Category,Vendor/Payee,Description,Amount,Payment Method,Receipt? (Y/N),Status,draft_tax_treatment,evidence_status,watch_notes
2026-01-01,Repairs & maintenance,Lowe's,LOWES #00907* 866-483-7521 NC | Dishwasher,323.67,Robinhood CC,CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-01-01,Supplies,Brookshire Brothers,BROOKSHIRE BROS #10 FAIRFIELD TX | Property supplies,12.06,Robinhood CC,CC,Business,startup_or_preopening_cost_review,cc_statement_only,Consumable setup supplies unless durable asset evidence suggests otherwise.
2026-01-03,Supplies,Dfw Estate Liquidators,DFW ESTATE LIQUIDATORS WEATHERFORD TX | Furnishing,48.46,Robinhood CC,CC,Business,section_179_or_depreciable_asset_review,cc_statement_only,Likely STR furniture/equipment; confirm business use and asset vs supply treatment.
2026-01-03,Supplies,Dfw Estate Liquidators,DFW ESTATE LIQUIDATORS WEATHERFORD TX | Furnishing,8.4,Robinhood CC,CC,Business,section_179_or_depreciable_asset_review,cc_statement_only,Likely STR furniture/equipment; confirm business use and asset vs supply treatment.
2026-01-05,Repairs & maintenance,Home Depot,THE HOME DEPOT #6817 CORSICANA TX,269.82,Robinhood CC,CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-01-06,Utilities,"Maga Waste, Llc",TRB MAGA WASTE LLC 802-5603595 VT | Trash service,170,Robinhood CC,CC,Business,startup_or_preopening_cost_review,cc_statement_only,Pre-opening utility/setup overhead; CPA to approve startup treatment.
2026-01-09,Travel,Burger King,Travel meals/fuel - Burger King | Trip to Fairfield,20.56,Robinhood CC,CC,Business,startup_or_preopening_cost_review,cc_statement_only,Setup-period travel/meal; confirm business purpose.
2026-01-09,Supplies,Brookshire Brothers,BROOKSHIRE BROS #10 FAIRFIELD TX | Property supplies,43.42,Robinhood CC,CC,Business,startup_or_preopening_cost_review,cc_statement_only,Consumable setup supplies unless durable asset evidence suggests otherwise.
2026-01-09,Repairs & maintenance,Home Depot,THE HOME DEPOT #6817 CORSICANA TX,32.02,Robinhood CC,CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-01-10,Repairs & maintenance,Home Depot,THE HOME DEPOT #6817 CORSICANA TX,142.12,Robinhood CC,CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-01-10,Repairs & maintenance,Home Depot,THE HOME DEPOT #6817 CORSICANA TX,17.97,Robinhood CC,CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-01-12,Repairs & maintenance,Refund: Home Depot,REFUND: THE HOME DEPOT #6817 CORSICANA TX,-20.46,Robinhood CC,CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-01-12,Repairs & maintenance,Refund: Home Depot,REFUND: THE HOME DEPOT #6817 CORSICANA TX,-119.92,Robinhood CC,CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-01-15,Repairs & maintenance,Home Depot,THE HOME DEPOT #6817 CORSICANA TX,1066.5,Robinhood CC,CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-01-15,Repairs & maintenance,Brenco,BRENCO FAIRFIELD TX,74.23,Robinhood CC,CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-01-16,Repairs & maintenance,Home Depot,THE HOME DEPOT #6817 CORSICANA TX,486.62,Robinhood CC,CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-01-17,Supplies,Brookshire Brothers,BROOKSHIRE BROS #10 FAIRFIELD TX | Property supplies,102.63,Robinhood CC,CC,Business,startup_or_preopening_cost_review,cc_statement_only,Consumable setup supplies unless durable asset evidence suggests otherwise.
2026-01-18,Repairs & maintenance,Ace Home Center,ACE HOME CENTER FAIRFIELD TX,8.65,Robinhood CC,CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-01-18,Travel,Pizza Hut,Travel meals/fuel - Pizza Hut | Trip to Fairfield,24.13,Robinhood CC,CC,Business,startup_or_preopening_cost_review,cc_statement_only,Setup-period travel/meal; confirm business purpose.
2026-01-26,Utilities,Gexa Energy,GEXA ENERGY 866-329-4392 TX | Electric,81.89,Robinhood CC,CC,Business,startup_or_preopening_cost_review,cc_statement_only,Pre-opening utility/setup overhead; CPA to approve startup treatment.
2026-02-07,Repairs & maintenance,Capps True Value Hardware and Ag Center,CAPPS TRUE VALUE FAIRFIELD TX,14.07,Robinhood CC,CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-02-10,Repairs & maintenance,Refund: Home Depot,REFUND: THE HOME DEPOT #6817 CORSICANA TX,-449,Robinhood CC,CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-02-10,Repairs & maintenance,Refund: Home Depot,REFUND: THE HOME DEPOT #6817 CORSICANA TX,-373,Robinhood CC,CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-02-10,Repairs & maintenance,Refund: Home Depot,REFUND: THE HOME DEPOT #6817 CORSICANA TX,-69.96,Robinhood CC,CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-02-10,Repairs & maintenance,Home Depot,THE HOME DEPOT 6817 CORSICANA TX,281.82,Robinhood CC,CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-02-14,Travel,Wendy's,Travel meals/fuel - Wendy's | Trip to Fairfield,18.38,Robinhood CC,CC,Business,startup_or_preopening_cost_review,cc_statement_only,Setup-period travel/meal; confirm business purpose.
2026-02-23,Utilities,Gexa Energy,GEXA ENERGY 866-329-4392 TX | Electric,94.9,Robinhood CC,CC,Business,startup_or_preopening_cost_review,cc_statement_only,Pre-opening utility/setup overhead; CPA to approve startup treatment.
2025-12-16,Repairs & maintenance,Jeff Yancey,Contractor - property work (Fairfield),510,Zelle (6113),CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2025-12-24,Repairs & maintenance,Jeff Yancey,Contractor - property work (Fairfield),700,Zelle (6113),CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-01-12,Repairs & maintenance,Jeff Yancey,Contractor - property work (Fairfield),775,Zelle (6113),CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-02-09,Repairs & maintenance,Jerry Yancey,Contractor - property work (Fairfield),1833.33,Zelle (6113),CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-01-12,Repairs & maintenance,Jacob Hance,Contractor - property work,150,Zelle (6113),CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-01-12,Repairs & maintenance,Jacob Hance,Contractor - property work,255,Zelle (6113),CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-01-12,Repairs & maintenance,Jacob Hance,Contractor - property work,40,Zelle (6113),CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-01-14,Repairs & maintenance,Jacob Hance,Contractor - property work,800,Zelle (6113),CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-01-20,Repairs & maintenance,Jacob Hance,Contractor - property work,801,Zelle (6113),CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-01-20,Repairs & maintenance,Jacob Hance,Contractor - property work,60,Zelle (6113),CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-01-20,Repairs & maintenance,Jacob Hance,Contractor - property work,25,Zelle (6113),CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-02-24,Utilities,MAGA Waste LLC,Trash service - 360 CR,85,ACH (6113),CC,Business,startup_or_preopening_cost_review,cc_statement_only,Pre-opening utility/setup overhead; CPA to approve startup treatment.
2026-01-20,Utilities,Thompson Water,Water service - 360 CR,100,BillPay (6113),CC,Business,startup_or_preopening_cost_review,cc_statement_only,Pre-opening utility/setup overhead; CPA to approve startup treatment.
2025-11-17,Repairs & maintenance,Jerry Yancey,Contractor - startup property work,500,Zelle (3125),CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-01-07,Repairs & maintenance,Jacob Hance,Contractor - property work,100,Zelle (3125),CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-01-08,Repairs & maintenance,Jacob Hance,Contractor - property work,145,Zelle (3125),CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-02-09,Repairs & maintenance,John Lomas,Contractor - property work,75,Zelle (3125),CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-02-11,Repairs & maintenance,John Lomas,Contractor - property work,275,Zelle (3125),CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2025-12-10,Repairs & maintenance,John Flooring,Flooring work - 360 CR,300,Zelle (3125),CC,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2026-02-17,Supplies,FB Marketplace - Sectionals,Sectional sofa for STR,300,Zelle (3125),N,Business,section_179_or_depreciable_asset_review,cc_statement_only,Likely STR furniture/equipment; confirm business use and asset vs supply treatment.
2026-02-17,Supplies,FB Marketplace - Sectionals,Sectional sofa for STR (2nd),100,Zelle (3125),N,Business,section_179_or_depreciable_asset_review,cc_statement_only,Likely STR furniture/equipment; confirm business use and asset vs supply treatment.
2026-02-17,Supplies,FB Marketplace - Hutch,Hutch for STR,125,Zelle (3125),N,Business,section_179_or_depreciable_asset_review,cc_statement_only,Likely STR furniture/equipment; confirm business use and asset vs supply treatment.
2026-02-17,Supplies,FB Marketplace - Chairs,Chairs for STR,25,Zelle (3125),N,Business,section_179_or_depreciable_asset_review,cc_statement_only,Likely STR furniture/equipment; confirm business use and asset vs supply treatment.
2026-02-17,Supplies,FB Marketplace - Patio Chairs,Patio chairs for STR,20,Zelle (3125),N,Business,section_179_or_depreciable_asset_review,cc_statement_only,Likely STR furniture/equipment; confirm business use and asset vs supply treatment.
2026-02-17,Supplies,FB Marketplace - Caulk,Caulk/supplies for STR,16,Zelle (3125),N,Business,section_179_or_depreciable_asset_review,cc_statement_only,Likely STR furniture/equipment; confirm business use and asset vs supply treatment.
2025-12-22,Supplies,FB Marketplace - Whirlpool,Whirlpool appliance for STR,20,Zelle (3125),N,Business,section_179_or_depreciable_asset_review,cc_statement_only,Likely STR furniture/equipment; confirm business use and asset vs supply treatment.
2025-12-24,Supplies,FB Marketplace - Whirlpool,Whirlpool appliance for STR,230,Zelle (3125),N,Business,section_179_or_depreciable_asset_review,cc_statement_only,Likely STR furniture/equipment; confirm business use and asset vs supply treatment.
2025-12-24,Supplies,FB Marketplace - Dyson,Dyson vacuum for STR,120,Zelle (3125),N,Business,section_179_or_depreciable_asset_review,cc_statement_only,Likely STR furniture/equipment; confirm business use and asset vs supply treatment.
2026-02-23,Utilities,Brio Water,Water delivery - STR,70,Zelle (3125),N,Business,startup_or_preopening_cost_review,cc_statement_only,Pre-opening utility/setup overhead; CPA to approve startup treatment.
2025-11-24,Repairs & maintenance,Jeff Yancey (cash),Cash payment for contractor work — text messages as evidence,1200,Cash,N,Business,capital_improvement_or_basis_review,cc_statement_only,Pre-service repairs/materials/labor; CPA to decide repair vs capital basis.
2025-10-12,Utilities,Starlink,Starlink dish/equipment purchase,455.81,Chase CC (1047),CC,Business,startup_or_preopening_cost_review,cc_statement_only,Pre-opening utility/setup overhead; CPA to approve startup treatment.
2025-10-21,Utilities,Starlink,Starlink refund/adjustment,-63.75,Chase CC (1047),CC,Business,startup_or_preopening_cost_review,cc_statement_only,Pre-opening utility/setup overhead; CPA to approve startup treatment.
2025-10-17,Utilities,Starlink,Starlink Internet - monthly,120,Chase CC (1047),CC,Business,startup_or_preopening_cost_review,cc_statement_only,Pre-opening utility/setup overhead; CPA to approve startup treatment.
2025-11-16,Utilities,Starlink,Starlink Internet - monthly,44.45,Chase CC (1047),CC,Business,startup_or_preopening_cost_review,cc_statement_only,Pre-opening utility/setup overhead; CPA to approve startup treatment.
2025-11-16,Utilities,Starlink,Starlink Internet - additional charge,5,Chase CC (1047),CC,Business,startup_or_preopening_cost_review,cc_statement_only,Pre-opening utility/setup overhead; CPA to approve startup treatment.
2025-12-16,Utilities,Starlink,Starlink Internet - monthly,50,Chase CC (1047),CC,Business,startup_or_preopening_cost_review,cc_statement_only,Pre-opening utility/setup overhead; CPA to approve startup treatment.
2026-01-16,Utilities,Starlink,Starlink Internet - monthly,50,Chase CC (1047),CC,Business,startup_or_preopening_cost_review,cc_statement_only,Pre-opening utility/setup overhead; CPA to approve startup treatment.
2026-02-11,Utilities,Starlink,Starlink Internet - adjustment,11.3,Chase CC (1047),CC,Business,startup_or_preopening_cost_review,cc_statement_only,Pre-opening utility/setup overhead; CPA to approve startup treatment.
2026-02-16,Utilities,Starlink,Starlink Internet - monthly,50,Chase CC (1047),CC,Business,startup_or_preopening_cost_review,cc_statement_only,Pre-opening utility/setup overhead; CPA to approve startup treatment.
2026-02-27,Utilities,Starlink,Starlink Internet - monthly,41.04,Chase CC (1047),CC,Business,startup_or_preopening_cost_review,cc_statement_only,Pre-opening utility/setup overhead; CPA to approve startup treatment.
